QuestionId,replication,concept_complexity,procedural_steps,abstraction_level,prerequisite_knowledge,distractor_plausibility,misconception_strength,question_clarity,cognitive_load,age_appropriateness,transfer_distance,visual_complexity,solution_uniqueness,classical_difficulty,irt_difficulty,irt_discrimination,guessing_probability,_extraction_success,_total_tags
27,0,3.0,3.0,4.0,3.0,6.0,7.0,9.0,4.0,9.0,3.0,2.0,6.0,0.3,-0.1,1.3,0.05,16,16
27,1,3.0,4.0,4.0,4.0,7.0,7.0,10.0,4.0,10.0,2.0,2.0,5.0,0.35,0.05,1.2,0.08,16,16
27,2,2.0,3.0,3.0,3.0,6.0,8.0,10.0,3.0,10.0,2.0,2.0,7.0,0.28,-0.15,1.35,0.03,16,16
27,3,3.0,3.0,4.0,4.0,5.0,8.0,9.0,4.0,9.0,3.0,2.0,6.0,0.32,-0.05,1.25,0.06,16,16
27,4,4.0,4.0,4.0,4.0,7.0,8.0,9.0,5.0,9.0,3.0,2.0,7.0,0.38,0.12,1.15,0.04,16,16
38,0,6.0,5.0,7.0,6.0,8.0,8.0,9.0,6.0,8.0,4.0,5.0,7.0,0.52,0.55,1.3,0.15,16,16
38,1,5.0,4.0,7.0,6.0,7.0,9.0,9.0,5.0,9.0,3.0,5.0,8.0,0.48,0.42,1.4,0.12,16,16
38,2,6.0,5.0,6.0,7.0,8.0,8.0,10.0,6.0,8.0,4.0,4.0,7.0,0.55,0.62,1.25,0.18,16,16
38,3,5.0,4.0,7.0,6.0,8.0,9.0,9.0,5.0,8.0,3.0,5.0,8.0,0.46,0.38,1.35,0.1,16,16
38,4,6.0,4.0,6.0,7.0,7.0,8.0,10.0,5.0,9.0,3.0,4.0,7.0,0.43,0.35,1.45,0.08,16,16
119,0,5.0,4.0,5.0,5.0,8.0,8.0,6.0,6.0,9.0,5.0,5.0,7.0,0.53,0.55,1.3,0.15,16,16
119,1,4.0,5.0,4.0,4.0,9.0,8.0,5.0,6.0,9.0,6.0,5.0,8.0,0.5,0.48,1.2,0.18,16,16
119,2,5.0,4.0,5.0,5.0,8.0,9.0,5.0,7.0,8.0,6.0,6.0,7.0,0.56,0.62,1.25,0.12,16,16
119,3,4.0,4.0,5.0,4.0,9.0,9.0,6.0,5.0,9.0,5.0,5.0,8.0,0.52,0.5,1.38,0.12,16,16
119,4,4.0,5.0,4.0,4.0,8.0,8.0,6.0,6.0,9.0,5.0,5.0,8.0,0.48,0.42,1.35,0.1,16,16
121,0,6.0,5.0,6.0,6.0,8.0,7.0,9.0,5.0,9.0,4.0,3.0,7.0,0.52,0.45,1.3,0.12,16,16
121,1,7.0,4.0,6.0,7.0,9.0,8.0,8.0,6.0,9.0,5.0,3.0,8.0,0.56,0.62,1.45,0.1,16,16
121,2,6.0,4.0,7.0,7.0,8.0,7.0,9.0,5.0,8.0,4.0,4.0,7.0,0.49,0.35,1.35,0.08,16,16
121,3,6.0,5.0,6.0,6.0,8.0,7.0,9.0,6.0,9.0,3.0,3.0,8.0,0.5,0.4,1.25,0.15,16,16
121,4,7.0,5.0,7.0,7.0,9.0,8.0,8.0,5.0,8.0,4.0,4.0,7.0,0.45,0.28,1.4,0.05,16,16
136,0,3.0,3.0,3.0,3.0,7.0,7.0,9.0,4.0,9.0,3.0,2.0,6.0,0.38,0.15,1.35,0.12,16,16
136,1,2.0,2.0,2.0,3.0,8.0,8.0,9.0,3.0,10.0,2.0,1.0,7.0,0.33,0.05,1.45,0.1,16,16
136,2,3.0,3.0,3.0,4.0,7.0,7.0,8.0,4.0,9.0,3.0,1.0,6.0,0.4,0.22,1.3,0.15,16,16
136,3,2.0,2.0,2.0,3.0,8.0,7.0,9.0,3.0,10.0,2.0,1.0,7.0,0.35,0.05,1.5,0.08,16,16
136,4,3.0,3.0,3.0,3.0,7.0,8.0,8.0,4.0,9.0,3.0,2.0,6.0,0.42,0.28,1.25,0.14,16,16
139,0,4.0,3.0,5.0,5.0,7.0,7.0,7.0,4.0,9.0,4.0,5.0,7.0,0.42,0.3,1.4,0.12,16,16
139,1,4.0,2.0,5.0,5.0,8.0,8.0,7.0,4.0,9.0,3.0,5.0,8.0,0.38,0.15,1.5,0.1,16,16
139,2,5.0,2.0,5.0,6.0,7.0,8.0,6.0,5.0,8.0,4.0,6.0,7.0,0.45,0.35,1.35,0.15,16,16
139,3,3.0,2.0,4.0,5.0,7.0,7.0,7.0,4.0,9.0,3.0,5.0,8.0,0.35,0.1,1.45,0.08,16,16
139,4,4.0,3.0,5.0,5.0,8.0,7.0,6.0,5.0,8.0,4.0,6.0,7.0,0.4,0.2,1.3,0.14,16,16
153,0,3.0,3.0,4.0,3.0,6.0,7.0,9.0,3.0,9.0,3.0,2.0,6.0,0.3,-0.05,1.35,0.05,16,16
153,1,3.0,4.0,4.0,4.0,7.0,7.0,10.0,4.0,9.0,2.0,2.0,7.0,0.28,-0.1,1.3,0.03,16,16
153,2,3.0,3.0,4.0,3.0,6.0,6.0,10.0,3.0,10.0,2.0,2.0,5.0,0.24,-0.2,1.2,0.04,16,16
153,3,4.0,4.0,5.0,4.0,7.0,7.0,9.0,4.0,9.0,3.0,2.0,6.0,0.32,0.1,1.25,0.06,16,16
153,4,3.0,3.0,4.0,3.0,7.0,8.0,10.0,3.0,10.0,2.0,2.0,7.0,0.26,-0.15,1.4,0.02,16,16
189,0,4.0,3.0,5.0,5.0,6.0,7.0,9.0,4.0,9.0,3.0,3.0,7.0,0.22,-0.15,1.45,0.05,16,16
189,1,4.0,3.0,5.0,5.0,6.0,6.0,9.0,4.0,9.0,3.0,3.0,7.0,0.22,-0.15,1.45,0.05,16,16
189,2,4.0,3.0,5.0,5.0,7.0,6.0,9.0,4.0,9.0,4.0,3.0,7.0,0.22,-0.15,1.45,0.05,16,16
189,3,5.0,4.0,6.0,5.0,7.0,6.0,9.0,5.0,9.0,4.0,3.0,7.0,0.28,0.15,1.35,0.08,16,16
189,4,5.0,4.0,6.0,5.0,6.0,5.0,9.0,5.0,9.0,4.0,3.0,7.0,0.22,0.05,1.45,0.05,16,16
195,0,5.0,5.0,5.0,5.0,7.0,7.0,9.0,5.0,9.0,4.0,4.0,6.0,0.42,0.3,1.25,0.1,16,16
195,1,5.0,5.0,5.0,6.0,6.0,7.0,9.0,6.0,9.0,4.0,4.0,7.0,0.4,0.25,1.15,0.08,16,16
195,2,5.0,5.0,5.0,6.0,7.0,6.0,9.0,6.0,8.0,3.0,5.0,6.0,0.38,0.2,1.3,0.12,16,16
195,3,6.0,5.0,5.0,6.0,8.0,7.0,9.0,6.0,9.0,4.0,5.0,7.0,0.47,0.4,1.2,0.15,16,16
195,4,5.0,4.0,5.0,5.0,7.0,7.0,10.0,5.0,9.0,3.0,4.0,6.0,0.35,0.15,1.35,0.05,16,16
202,0,3.0,3.0,3.0,4.0,6.0,6.0,9.0,3.0,9.0,2.0,4.0,5.0,0.22,-0.45,1.35,0.05,16,16
202,1,3.0,3.0,2.0,4.0,7.0,7.0,8.0,3.0,9.0,2.0,4.0,4.0,0.28,-0.2,1.25,0.08,16,16
202,2,2.0,2.0,2.0,3.0,5.0,5.0,9.0,2.0,10.0,1.0,4.0,5.0,0.18,-0.55,1.15,0.02,16,16
202,3,3.0,3.0,3.0,4.0,7.0,8.0,9.0,4.0,9.0,2.0,5.0,5.0,0.3,-0.05,1.3,0.1,16,16
202,4,3.0,2.0,3.0,4.0,6.0,6.0,8.0,3.0,10.0,2.0,4.0,5.0,0.25,-0.35,1.1,0.03,16,16
233,0,5.0,4.0,6.0,5.0,6.0,5.0,7.0,5.0,9.0,5.0,5.0,7.0,0.22,-0.1,1.4,0.05,16,16
233,1,5.0,4.0,6.0,5.0,7.0,7.0,7.0,5.0,8.0,5.0,5.0,7.0,0.35,0.15,1.35,0.1,16,16
233,2,5.0,4.0,6.0,5.0,7.0,6.0,8.0,5.0,9.0,5.0,5.0,7.0,0.38,0.25,1.35,0.1,16,16
233,3,5.0,4.0,6.0,5.0,6.0,6.0,8.0,5.0,9.0,4.0,5.0,7.0,0.25,-0.15,1.35,0.1,16,16
233,4,5.0,4.0,6.0,5.0,7.0,6.0,8.0,5.0,9.0,5.0,5.0,7.0,0.28,0.05,1.35,0.1,16,16
243,0,5.0,5.0,6.0,5.0,7.0,7.0,9.0,5.0,9.0,3.0,3.0,6.0,0.52,0.65,1.1,0.18,16,16
243,1,5.0,5.0,6.0,6.0,8.0,7.0,9.0,6.0,9.0,3.0,3.0,7.0,0.55,0.7,1.15,0.17,16,16
243,2,5.0,4.0,6.0,5.0,7.0,8.0,8.0,5.0,9.0,3.0,3.0,6.0,0.56,0.75,1.05,0.2,16,16
243,3,5.0,5.0,5.0,5.0,7.0,7.0,9.0,5.0,10.0,2.0,2.0,5.0,0.5,0.6,1.0,0.15,16,16
243,4,5.0,4.0,6.0,6.0,8.0,7.0,9.0,5.0,9.0,3.0,3.0,6.0,0.54,0.72,1.1,0.16,16,16
254,0,4.0,3.0,4.0,4.0,7.0,7.0,8.0,5.0,9.0,5.0,4.0,7.0,0.25,-0.15,1.45,0.1,16,16
254,1,4.0,4.0,4.0,5.0,7.0,7.0,8.0,5.0,9.0,5.0,3.0,7.0,0.3,0.15,1.35,0.1,16,16
254,2,4.0,4.0,4.0,4.0,7.0,7.0,8.0,5.0,9.0,5.0,3.0,7.0,0.25,-0.1,1.45,0.05,16,16
254,3,4.0,3.0,5.0,4.0,7.0,7.0,8.0,5.0,9.0,5.0,4.0,7.0,0.35,0.15,1.35,0.1,16,16
254,4,4.0,3.0,4.0,4.0,6.0,6.0,8.0,5.0,9.0,4.0,4.0,7.0,0.22,-0.15,1.35,0.05,16,16
285,0,6.0,5.0,8.0,6.0,6.0,7.0,9.0,6.0,7.0,5.0,4.0,7.0,0.55,0.62,1.2,0.15,16,16
285,1,7.0,5.0,8.0,7.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,8.0,0.5,0.5,1.15,0.12,16,16
285,2,7.0,4.0,9.0,7.0,5.0,6.0,8.0,7.0,6.0,5.0,3.0,7.0,0.6,0.75,1.1,0.18,16,16
285,3,6.0,4.0,8.0,6.0,6.0,7.0,9.0,5.0,7.0,6.0,3.0,8.0,0.48,0.45,1.25,0.1,16,16
285,4,7.0,5.0,8.0,7.0,6.0,8.0,9.0,6.0,6.0,5.0,4.0,7.0,0.52,0.55,1.3,0.2,16,16
290,0,6.0,6.0,6.0,6.0,8.0,7.0,7.0,7.0,8.0,6.0,5.0,7.0,0.52,0.48,1.25,0.15,16,16
290,1,7.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,8.0,7.0,4.0,8.0,0.56,0.55,1.15,0.18,16,16
290,2,6.0,6.0,7.0,5.0,7.0,7.0,7.0,6.0,9.0,6.0,4.0,7.0,0.49,0.38,1.2,0.12,16,16
290,3,7.0,7.0,7.0,6.0,8.0,8.0,7.0,7.0,8.0,7.0,4.0,8.0,0.54,0.6,1.3,0.16,16,16
290,4,6.0,6.0,6.0,5.0,7.0,7.0,8.0,6.0,9.0,5.0,3.0,7.0,0.5,0.45,1.35,0.14,16,16
304,0,3.0,2.0,3.0,3.0,6.0,7.0,9.0,2.0,9.0,2.0,2.0,8.0,0.2,-0.45,1.45,0.05,16,16
304,1,3.0,2.0,3.0,4.0,5.0,7.0,9.0,3.0,9.0,3.0,3.0,6.0,0.18,-0.6,1.45,0.05,16,16
304,2,3.0,2.0,3.0,3.0,5.0,6.0,9.0,2.0,9.0,3.0,2.0,7.0,0.18,-0.65,1.35,0.05,16,16
304,3,3.0,2.0,3.0,3.0,6.0,6.0,9.0,3.0,9.0,2.0,3.0,7.0,0.2,-0.45,1.4,0.05,16,16
304,4,3.0,1.0,2.0,3.0,5.0,7.0,10.0,2.0,10.0,2.0,2.0,8.0,0.18,-0.55,1.5,0.03,16,16
306,0,4.0,3.0,4.0,4.0,7.0,8.0,7.0,5.0,9.0,4.0,4.0,7.0,0.3,-0.1,1.35,0.05,16,16
306,1,3.0,2.0,5.0,4.0,8.0,8.0,8.0,5.0,10.0,3.0,3.0,8.0,0.27,-0.15,1.45,0.08,16,16
306,2,4.0,2.0,5.0,3.0,7.0,9.0,8.0,4.0,10.0,4.0,3.0,7.0,0.24,-0.25,1.5,0.03,16,16
306,3,4.0,3.0,4.0,4.0,8.0,8.0,7.0,5.0,9.0,5.0,4.0,6.0,0.35,0.05,1.3,0.1,16,16
306,4,3.0,2.0,5.0,4.0,8.0,9.0,8.0,4.0,10.0,4.0,3.0,8.0,0.28,-0.05,1.4,0.06,16,16
328,0,3.0,3.0,3.0,4.0,7.0,8.0,9.0,3.0,9.0,2.0,3.0,6.0,0.3,-0.1,1.35,0.05,16,16
328,1,3.0,3.0,4.0,4.0,7.0,9.0,10.0,3.0,10.0,2.0,3.0,5.0,0.28,-0.18,1.25,0.08,16,16
328,2,3.0,2.0,3.0,3.0,6.0,8.0,10.0,2.0,10.0,1.0,2.0,6.0,0.25,-0.25,1.45,0.03,16,16
328,3,4.0,3.0,4.0,4.0,8.0,9.0,9.0,3.0,9.0,2.0,3.0,7.0,0.35,0.05,1.4,0.05,16,16
328,4,3.0,3.0,3.0,5.0,7.0,8.0,10.0,3.0,10.0,2.0,2.0,6.0,0.33,0.0,1.3,0.07,16,16
329,0,5.0,4.0,5.0,5.0,7.0,7.0,7.0,6.0,9.0,5.0,4.0,7.0,0.38,0.15,1.35,0.1,16,16
329,1,4.0,5.0,5.0,4.0,6.0,8.0,6.0,6.0,9.0,4.0,3.0,6.0,0.33,0.05,1.4,0.08,16,16
329,2,4.0,4.0,4.0,5.0,7.0,7.0,7.0,5.0,10.0,5.0,4.0,7.0,0.35,0.1,1.45,0.05,16,16
329,3,5.0,5.0,5.0,4.0,8.0,7.0,6.0,6.0,9.0,6.0,3.0,8.0,0.4,0.22,1.3,0.12,16,16
329,4,4.0,4.0,4.0,4.0,7.0,8.0,7.0,5.0,9.0,4.0,3.0,6.0,0.3,-0.05,1.38,0.06,16,16
332,0,6.0,5.0,6.0,6.0,7.0,7.0,8.0,6.0,9.0,5.0,4.0,7.0,0.47,0.4,1.3,0.15,16,16
332,1,5.0,4.0,5.0,5.0,8.0,7.0,7.0,7.0,9.0,4.0,4.0,8.0,0.5,0.45,1.25,0.18,16,16
332,2,6.0,5.0,6.0,6.0,8.0,8.0,7.0,7.0,9.0,5.0,3.0,7.0,0.52,0.5,1.35,0.16,16,16
332,3,5.0,5.0,5.0,6.0,7.0,7.0,8.0,6.0,10.0,4.0,3.0,7.0,0.44,0.3,1.4,0.12,16,16
332,4,5.0,4.0,5.0,5.0,8.0,7.0,8.0,6.0,9.0,5.0,3.0,8.0,0.42,0.25,1.45,0.1,16,16
361,0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,8.0,5.0,6.0,7.0,0.5,0.45,1.3,0.15,16,16
361,1,7.0,7.0,7.0,6.0,8.0,8.0,5.0,8.0,8.0,6.0,7.0,6.0,0.55,0.6,1.2,0.18,16,16
361,2,6.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,9.0,5.0,6.0,7.0,0.47,0.35,1.35,0.12,16,16
361,3,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,9.0,4.0,5.0,6.0,0.43,0.3,1.4,0.1,16,16
361,4,7.0,6.0,7.0,7.0,7.0,8.0,6.0,8.0,8.0,5.0,6.0,7.0,0.52,0.5,1.25,0.16,16,16
362,0,6.0,5.0,6.0,6.0,8.0,7.0,8.0,6.0,9.0,5.0,4.0,7.0,0.5,0.45,1.3,0.12,16,16
362,1,6.0,5.0,7.0,7.0,9.0,7.0,9.0,5.0,9.0,4.0,3.0,8.0,0.48,0.35,1.4,0.1,16,16
362,2,7.0,4.0,6.0,7.0,8.0,8.0,8.0,6.0,8.0,5.0,3.0,7.0,0.52,0.5,1.25,0.08,16,16
362,3,6.0,4.0,6.0,6.0,8.0,7.0,9.0,5.0,9.0,4.0,3.0,7.0,0.46,0.38,1.35,0.15,16,16
362,4,7.0,5.0,7.0,7.0,9.0,7.0,8.0,6.0,8.0,5.0,4.0,8.0,0.55,0.55,1.2,0.15,16,16
381,0,5.0,4.0,6.0,5.0,7.0,7.0,8.0,5.0,9.0,4.0,4.0,7.0,0.48,0.35,1.25,0.12,16,16
381,1,5.0,5.0,6.0,6.0,8.0,7.0,8.0,6.0,9.0,3.0,4.0,7.0,0.5,0.42,1.3,0.1,16,16
381,2,6.0,4.0,5.0,5.0,7.0,8.0,9.0,5.0,10.0,4.0,3.0,6.0,0.44,0.28,1.35,0.08,16,16
381,3,5.0,4.0,6.0,6.0,7.0,7.0,8.0,5.0,9.0,4.0,3.0,7.0,0.45,0.3,1.28,0.11,16,16
381,4,6.0,5.0,6.0,5.0,8.0,8.0,7.0,6.0,9.0,5.0,3.0,6.0,0.52,0.48,1.2,0.14,16,16
435,0,5.0,7.0,3.0,5.0,8.0,7.0,9.0,7.0,9.0,4.0,4.0,6.0,0.52,0.45,1.3,0.15,16,16
435,1,4.0,7.0,3.0,5.0,9.0,8.0,9.0,6.0,9.0,3.0,5.0,5.0,0.48,0.35,1.4,0.12,16,16
435,2,5.0,8.0,3.0,5.0,9.0,8.0,8.0,7.0,10.0,4.0,4.0,5.0,0.55,0.5,1.25,0.1,16,16
435,3,4.0,7.0,2.0,4.0,8.0,7.0,9.0,7.0,9.0,3.0,4.0,6.0,0.5,0.4,1.2,0.08,16,16
435,4,5.0,7.0,3.0,5.0,9.0,8.0,9.0,6.0,9.0,4.0,5.0,6.0,0.53,0.42,1.35,0.1,16,16
466,0,5.0,4.0,5.0,6.0,7.0,7.0,8.0,5.0,9.0,4.0,4.0,7.0,0.52,0.48,1.35,0.12,16,16
466,1,6.0,4.0,5.0,6.0,7.0,8.0,9.0,6.0,8.0,5.0,4.0,6.0,0.55,0.55,1.25,0.15,16,16
466,2,5.0,3.0,5.0,5.0,8.0,7.0,9.0,5.0,9.0,4.0,3.0,7.0,0.48,0.4,1.4,0.1,16,16
466,3,6.0,4.0,6.0,6.0,8.0,7.0,8.0,6.0,8.0,5.0,4.0,7.0,0.54,0.52,1.28,0.08,16,16
466,4,5.0,3.0,5.0,5.0,7.0,8.0,9.0,5.0,9.0,3.0,3.0,6.0,0.49,0.45,1.3,0.08,16,16
506,0,4.0,3.0,5.0,5.0,7.0,7.0,9.0,5.0,9.0,4.0,4.0,6.0,0.4,0.2,1.3,0.08,16,16
506,1,5.0,3.0,5.0,5.0,8.0,7.0,9.0,4.0,9.0,3.0,3.0,7.0,0.38,0.15,1.35,0.05,16,16
506,2,4.0,2.0,5.0,5.0,8.0,8.0,10.0,5.0,9.0,4.0,3.0,6.0,0.45,0.3,1.25,0.06,16,16
506,3,4.0,3.0,4.0,5.0,7.0,7.0,10.0,5.0,10.0,3.0,3.0,7.0,0.42,0.25,1.2,0.07,16,16
506,4,4.0,2.0,5.0,4.0,7.0,8.0,9.0,4.0,9.0,3.0,3.0,6.0,0.36,0.12,1.38,0.04,16,16
513,0,5.0,5.0,5.0,5.0,8.0,8.0,7.0,6.0,9.0,5.0,5.0,7.0,0.45,0.35,1.3,0.1,16,16
513,1,4.0,6.0,6.0,5.0,9.0,9.0,6.0,7.0,9.0,6.0,5.0,8.0,0.5,0.45,1.25,0.12,16,16
513,2,5.0,5.0,5.0,4.0,8.0,8.0,7.0,6.0,10.0,5.0,4.0,7.0,0.4,0.25,1.35,0.08,16,16
513,3,4.0,5.0,5.0,5.0,7.0,7.0,7.0,6.0,9.0,4.0,5.0,6.0,0.42,0.3,1.2,0.05,16,16
513,4,4.0,6.0,6.0,5.0,8.0,8.0,8.0,5.0,10.0,5.0,4.0,7.0,0.38,0.2,1.4,0.08,16,16
525,0,5.0,6.0,3.0,5.0,7.0,8.0,9.0,5.0,9.0,3.0,4.0,6.0,0.42,0.25,1.3,0.1,16,16
525,1,4.0,5.0,3.0,5.0,8.0,9.0,8.0,5.0,10.0,2.0,5.0,5.0,0.38,0.15,1.45,0.08,16,16
525,2,5.0,6.0,4.0,6.0,7.0,9.0,9.0,6.0,9.0,2.0,4.0,7.0,0.45,0.35,1.25,0.12,16,16
525,3,4.0,5.0,3.0,5.0,6.0,8.0,9.0,5.0,10.0,2.0,4.0,6.0,0.35,0.08,1.35,0.05,16,16
525,4,5.0,6.0,3.0,5.0,7.0,8.0,8.0,6.0,9.0,3.0,5.0,6.0,0.4,0.2,1.38,0.07,16,16
550,0,3.0,3.0,4.0,3.0,5.0,6.0,7.0,4.0,9.0,4.0,3.0,5.0,0.3,0.05,1.25,0.1,16,16
550,1,3.0,4.0,3.0,3.0,4.0,5.0,7.0,5.0,10.0,3.0,3.0,4.0,0.27,-0.1,1.35,0.08,16,16
550,2,3.0,3.0,4.0,3.0,4.0,4.0,6.0,4.0,9.0,4.0,3.0,4.0,0.22,-0.2,1.1,0.12,16,16
550,3,4.0,3.0,5.0,4.0,5.0,5.0,7.0,5.0,9.0,4.0,2.0,5.0,0.33,0.12,1.2,0.15,16,16
550,4,3.0,3.0,4.0,3.0,5.0,5.0,7.0,4.0,10.0,3.0,2.0,5.0,0.25,-0.05,1.3,0.07,16,16
556,0,2.0,1.0,4.0,3.0,6.0,7.0,7.0,2.0,9.0,4.0,4.0,7.0,0.2,-0.5,1.35,0.05,16,16
556,1,2.0,1.0,3.0,3.0,5.0,7.0,6.0,2.0,10.0,5.0,5.0,8.0,0.17,-0.65,1.25,0.03,16,16
556,2,3.0,1.0,4.0,3.0,6.0,8.0,6.0,3.0,9.0,5.0,5.0,7.0,0.22,-0.35,1.4,0.05,16,16
556,3,2.0,1.0,4.0,2.0,5.0,7.0,7.0,2.0,10.0,4.0,4.0,8.0,0.15,-0.7,1.3,0.02,16,16
556,4,2.0,1.0,3.0,3.0,6.0,7.0,7.0,2.0,9.0,5.0,4.0,7.0,0.19,-0.45,1.2,0.04,16,16
564,0,4.0,3.0,5.0,4.0,8.0,7.0,9.0,4.0,9.0,2.0,3.0,7.0,0.38,0.15,1.3,0.1,16,16
564,1,3.0,3.0,5.0,4.0,7.0,8.0,10.0,3.0,10.0,2.0,2.0,8.0,0.35,0.05,1.4,0.08,16,16
564,2,4.0,3.0,5.0,5.0,7.0,8.0,9.0,4.0,9.0,3.0,3.0,7.0,0.4,0.25,1.25,0.12,16,16
564,3,3.0,2.0,4.0,4.0,8.0,7.0,10.0,3.0,10.0,2.0,2.0,7.0,0.33,-0.05,1.35,0.05,16,16
564,4,4.0,3.0,5.0,5.0,8.0,8.0,9.0,4.0,9.0,3.0,2.0,8.0,0.42,0.3,1.2,0.15,16,16
644,0,4.0,2.0,5.0,5.0,7.0,7.0,7.0,4.0,9.0,4.0,5.0,8.0,0.4,0.25,1.35,0.1,16,16
644,1,3.0,2.0,4.0,5.0,8.0,8.0,7.0,3.0,9.0,3.0,5.0,9.0,0.38,0.18,1.3,0.08,16,16
644,2,4.0,2.0,5.0,5.0,7.0,8.0,6.0,4.0,9.0,4.0,6.0,8.0,0.43,0.3,1.4,0.12,16,16
644,3,3.0,1.0,4.0,4.0,7.0,8.0,6.0,3.0,9.0,5.0,6.0,9.0,0.45,0.35,1.25,0.15,16,16
644,4,4.0,2.0,5.0,5.0,8.0,7.0,7.0,3.0,10.0,4.0,5.0,8.0,0.37,0.15,1.45,0.05,16,16
655,0,5.0,4.0,5.0,5.0,7.0,7.0,8.0,5.0,9.0,4.0,3.0,7.0,0.45,0.35,1.3,0.15,16,16
655,1,5.0,3.0,5.0,5.0,8.0,8.0,7.0,5.0,9.0,4.0,3.0,6.0,0.42,0.3,1.35,0.12,16,16
655,2,6.0,4.0,5.0,6.0,8.0,8.0,8.0,6.0,9.0,5.0,3.0,7.0,0.5,0.45,1.25,0.18,16,16
655,3,5.0,3.0,4.0,5.0,8.0,7.0,8.0,5.0,10.0,3.0,3.0,6.0,0.47,0.38,1.2,0.17,16,16
655,4,6.0,4.0,5.0,6.0,7.0,8.0,7.0,6.0,9.0,5.0,4.0,7.0,0.52,0.5,1.15,0.15,16,16
