QuestionId,question_text,correct_answer_kaggle,AnswerAText,AnswerBText,AnswerCText,AnswerDText,p_correct,total_responses,b_rasch,source,a_2pl,b_2pl
332,"Tom and Katie are discussing how to solve:
\(
\frac{x}{3}-5=12
\)

Tom says a correct next line of working could be: \( \frac{x}{3}=17 \)

Katie says a correct next line of working could be: \( x-5=36 \)
Who is correct?",A,"Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,0.8774193548387097,155,-1.9682159065696117,original_20,0.30422605465259256,-5.178584840256915
1702,"This is a part of the table of values for the equation
\[
10 x-6 y=30
\] \begin{tabular}{|l|l|}
\hline\( x \) & \( \bigstar \) \\
\hline\( y \) & \( 0.5 \) \\
\hline
\end{tabular} What should replace the star?",C,\( 4.25 \),\( -4.25 \),\( 3.3 \),\( 2.7 \),0.8476190476190476,105,-1.7160476474923585,original_20,1.543799629116696,-0.49966092940662105
934,"\begin{tabular}{|l|l|l|l|l|l|}
\hline\( x \) & \( 0 \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &   
\end{tabular} This is a table of values for \( 4 x+2 y=10 \) 
What should replace the star?",C,\( 20 \),\( 3 \),\( 5 \),\( 2.5 \),0.7664835164835165,728,-1.1885605253310494,original_20,1.4369041398842834,-0.5220379219204255
1599,Which answer shows the following calculation using the correct algebraic convention? \( c \div(h+4) \),A,\( \frac{c}{h+4} \),\( \frac{c+4}{h+4} \),\( \frac{c}{h}+4 \),\( \frac{h+4}{c} \),0.9226190476190476,168,-2.478475759457709,original_20,0.5963138757469146,-3.3760100991652897
306,"Problem P: \( 4-5+6= \)
Problem Q: \( 4+5 \times 6= \)

Which calculation should you do first in each problem?",B,"Problem P: \( 4-5 \)
Problem Q: \( 4+5 \)","Problem P: \( 4-5 \)
Problem Q: \( 5 \times 6 \)","Problem P: \( 5+6 \)
Problem Q: \( 4+5 \)","Problem P: \( 5+6 \)
Problem Q: \( 5 \times 6 \)",0.7561837455830388,283,-1.1318695104245915,original_20,0.9127295573065691,-0.15798293177616118
202,\( 2 \frac{1}{5}+1 \frac{2}{5}= \) Leave your answer as a mixed number,A,\( 3 \frac{3}{5} \),\( \frac{18}{5} \),\( \frac{18}{10} \),\( 3 \frac{3}{10} \),0.8775510204081632,147,-1.9694406464655072,original_20,1.922746107012259,-0.23737530084039926
644,"Molly is expanding these two brackets.

What should she get when she multiplies the two terms indicated by the arrows? ![The brackets shown are (2p-1)(3p-4). The arrows are pointing at the -1 in the first bracket and the -4 in the second bracket.]()",A,\( +4 \),\( -4 \),\( +5 \),\( -5 \),0.9885057471264368,87,-4.454347296253509,original_20,10.0,-0.26171245437839136
1545,"\[
8+12 \div 4 \square(8+12) \div 4
\]
Which symbol belongs in the box?",A,\( > \),\( < \),\( = \),\( \geq \),0.8410462776659959,497,-1.6660335800577344,original_20,1.8286823556424718,-0.2891745509476537
1286,"A sphere has a volume of
\[
V \mathrm{~cm}^{3} \text {. }
\] ![A sphere with the radius labelled '?']() What is its radius?",C,\( \sqrt[3]{\frac{4 V \pi}{3}} \mathrm{~cm} \),\( \sqrt[3]{\frac{4 V}{3 \pi}} \mathrm{cm} \),\( \sqrt[3]{\frac{3 V}{4 \pi}} \mathrm{cm} \),\( \frac{3 \sqrt[3]{V}}{4 \pi} \mathrm{cm} \),0.6117455138662317,613,-0.4546553522989362,original_20,0.9006971762146508,0.06190150939553067
919,"This is a part of the table of values for the equation
\[y=3 x^{2}\] \begin{tabular}{|l|l|}
\hline\( x \) & \( 0.3 \) \\
\hline\( y \) & \( \bigstar \) \\
\hline
\end{tabular} What should replace the star?",B,\( 0.81 \),\( 0.27 \),\( 1.8 \),\( 2.7 \),0.75,68,-1.0986122886681098,original_20,1.1057085800409565,0.03396796319643369
888,"Multiply out the brackets:
\[
(m-5)(m-7)
\]",B,\( m^{2}-2 m-35 \),\( m^{2}-12 m+35 \),\( m^{2}+12 m+35 \),\( m^{2}-12 m-35 \),0.6547155105222136,1283,-0.6398321217922237,original_20,1.3283796027503236,0.0016278102164613238
506,"Solve the equation:

\(
3 p=\frac{1}{12}
\)",B,\( p=\frac{1}{4} \),\( p=\frac{1}{36} \),\( p=4 \),\( p=\frac{1}{9} \),0.8627450980392157,51,-1.838279484862948,original_20,1.5052031702884707,-0.10377557508607277
1607,"Isaac is trying to solve the equation on the right. \( 15=\frac{1+k}{4} \) Here are his steps. Step \( 1: \) \(
60=1+k
\)

Step \( 2: \) \(
61=k
\) Which steps, if any, are correct?",A,Only step \( 1 \),Only ste.p \( 2 \),Both steps are correct,Both step.s are incorrect,0.7472527472527473,91,-1.084013489246957,original_20,1.9759412961023044,0.5036703728412814
1383,"\(
T=k^{4}
\)

What is the value of \( T \) when \( k=-3 \) ?",A,\( 81 \),\( 12 \),\( -81 \),\( -12 \),0.5266321243523316,4825,-0.1066294125442634,original_20,1.2084446132081983,0.5620236463017041
254,"When calculating the mean of the following numbers which calculation will give the correct answer?
\[
0,1,3,4,7
\]",A,\( \frac{1+3+4+7}{5} \),\( 0+1+3+4+7 \div 5 \),\( \frac{1+3+4+7}{4} \),None of them,0.6206395348837209,688,-0.4922636059059311,original_20,1.2629468515873614,0.5977561300648099
689,"Solve the equation:
\(
10=\frac{5}{p}
\)",A,\( p=0.5 \),\( p=50 \),\( p=2 \),There are no solutions,0.590818363273453,1503,-0.367349475185652,original_20,0.9613984533273646,0.25043687039220863
525,\( 2 \frac{7}{10}+2 \frac{1}{4}= \) Leave your answer as a mixed number,B,\( \frac{99}{20} \),\( 4 \frac{19}{20} \),\( \frac{99}{40} \),\( 4 \frac{8}{14} \),0.4691358024691358,1701,0.1236139559671767,original_20,1.3849109211380959,0.6231115841963103
38,"Write this as a single fraction as simply as possible:
\(
\frac{3}{2 x}+\frac{4}{x}
\)",A,\( \frac{11}{2 x} \),\( \frac{7}{3 x} \),\( \frac{11}{x} \),\( \frac{7}{2 x} \),0.6888888888888889,90,-0.7949298748698876,original_20,2.049760951036699,0.6920454318273266
466,\( -\frac{3}{4} \times \star=-1 \) What should replace the star?,A,\( \frac{4}{3} \),\( -\frac{4}{3} \),\( \frac{3}{4} \),\( -\frac{3}{4} \),0.3994202898550724,1725,0.4078811518057699,original_20,0.940827635948272,0.7137456765921156
1465,"What does the following equal?
\[
3-5+4 \times 2
\]",A,\( 6 \),\( 4 \),\( -12 \),\( -10 \),0.4667913938260056,1069,0.1330302650770773,original_20,0.8437237448571163,0.8316818391019916
121,"What is the gradient of this line?
\(5 x+3 y=15\)",B,\( 5 \),\( -5 \),\( \frac{5}{3} \),\( -\frac{5}{3} \),0.7578125,128,-1.1407237740182363,expanded_30,1.2143368343178138,-0.24227945479125307
950,Which of the following is not a surd?,D,\( \sqrt{45} \),\( \sqrt{47} \),\( \sqrt{49} \),\( \sqrt{51} \),0.7940594059405942,1010,-1.3495705281651975,expanded_30,1.1627908754379974,-0.41992395943830074
577,"Which of these two numbers are rational?
\(
\pi \text { and } \frac{1}{\pi}
\)",C,\( \pi \),\( \frac{1}{\pi} \),Both,Neither,0.8422939068100358,558,-1.6753958802258977,expanded_30,1.5096441264030451,-0.6754598684755162
668,"What is the mode of the following numbers?
\[
0,0,2,2
\]",A,\( 0 \) and \( 2 \),\( 2 \),\( 1 \),There is no mode,0.7518518518518519,270,-1.1085133596508214,expanded_30,1.3462054664787781,0.21211113020451935
1134,"What number belongs in the box?
\(
(-11)+7=
\square\)",C,\( -18 \),\( -4 \),\( -5 \),\( 18 \),0.826086956521739,299,-1.558144618046549,expanded_30,1.4731622067792498,-0.11817580863228866
849,What number is this CCXLIX?,B,\( 271 \),\( 269 \),\( 249 \),\( 259 \),0.7913708356089569,1831,-1.3332083337141076,expanded_30,1.448133621538176,-0.6385628138590812
1500,What is \( 29.156828 \) rounded to \( 3 \) decimal places?,B,\( 29.267 \),\( 29.16 \),\( 29.156 \),\( 29.157 \),0.8058252427184466,206,-1.4231083342426067,expanded_30,1.1836575251521662,-0.36920606012765156
1747,"Ada turns clockwise from facing \( \mathrm{NW} \) to facing \( \mathrm{S} \)

How many degrees has Ada turned? ![A image of a compass.]()",C,\( 225^{\degree} \),\( 315^{\degree} \),\( 135^{\degree} \),\( 180^{\degree} \),0.7892857142857143,280,-1.3206252576120332,expanded_30,1.3427028092210207,-0.6866667266923807
194,"What is the mean of the following numbers?

\[
1,4,7,9,9
\]",B,\( 7 \),\( 9 \),\( 30 \),\( 6 \),0.821656050955414,157,-1.5276078941864686,expanded_30,1.536344843509396,-0.058045574340001446
637,\( 0.15 \times 0.2= \),D,\( 3 \),\( 0.03 \),\( 0.3 \),\( 0.003 \),0.7738095238095238,420,-1.2299482907291968,expanded_30,1.0343015054360882,0.22120630722576654
1806,Write the following using correct algebraic notation \( p \) multiplied by three lots of \( q \),B,\( 3 p+q \),\( p q^{3} \),\( p q+3 \),\( 3 p q \),0.6761904761904762,105,-0.7363193524251543,expanded_30,1.0815218517798746,0.33642943274551895
576,"\[
34590.8549
\]
What is this number rounded to \( 1 \) decimal place?",D,\( 34590.8 \),\( 30000 \),\( 34591.9 \),\( 34590.9 \),0.5360501567398119,319,-0.1444512827385448,expanded_30,1.2234709360084761,0.6441437137717161
529,Which option shows the fractions in order from smallest to largest?,B,\( \begin{array}{llll}\frac{3}{4} & \frac{1}{2} & \frac{2}{6} & \frac{1}{12}\end{array} \),\( \begin{array}{llll}\frac{1}{2} & \frac{3}{4} & \frac{2}{6} & \frac{1}{12}\end{array} \),\( \frac{1}{12} \quad \frac{2}{6} \quad \frac{1}{2} \quad \frac{3}{4} \),\( \begin{array}{llll}\frac{1}{2} & \frac{1}{12} & \frac{2}{6} & \frac{3}{4}\end{array} \),0.7424242424242425,264,-1.0586069540544112,expanded_30,1.5664249591328945,-0.17249002747009146
1826,"This is a part of the table of values for the equation \( \boldsymbol{y}=\mathbf{2}^{\boldsymbol{x}} \) \begin{tabular}{|c|c|}
\hline\( x \) & \( -5 \) \\
\hline\( y \) & \(\color{gold}\bigstar\) \\
\hline
\end{tabular} What should replace the star?",B,\( -32 \),\( -\frac{1}{32} \),\( -10 \),\( \frac{1}{32} \),0.6718115353371243,1231,-0.7163898170625416,expanded_30,1.1719037664143306,-0.15191181220693512
1460,"\[
650 \text { centilitres }=\bigstar \text { litres }
\]
What should replace the star?",B,\( 6.5 \),\( 0.65 \),\( 65000 \),\( 65 \),0.6277777777777778,360,-0.5226951993213745,expanded_30,1.1757946909154804,0.4625401346151459
1509,Find \( d \) in the following equation \( \frac{5 d-2}{3}=2 d-1 \),B,\( d=-1 \),\( d=\frac{5}{13} \),\( d=\frac{3}{13} \),\( d=1 \),0.4609523809523809,1050,0.1565091714865511,expanded_30,0.8341914061585295,0.3338866376592153
819,\( 6-(-8)= \),A,\( 14 \),\( -14 \),\( 2 \),\( -2 \),0.75,108,-1.0986122886681098,expanded_30,0.9560108097410644,-0.35668446861635134
1441,What should replace the star and triangle when this expression is fully factorised? \( 8 m - 10 \equiv {\bigstar}(\triangle m-\bigcirc) \),B,\( \begin{array}{l}{\bigstar}=8 \\ \Delta=1\end{array} \),\( \begin{array}{l}{\bigstar}=2 \\ \Delta=4\end{array} \),\( \begin{array}{l}{\bigstar}=5 \\ \Delta=3\end{array} \),\( \begin{array}{l}{\bigstar}=4 \\ \Delta=2\end{array} \),0.5887198986058302,1578,-0.3586760221097486,expanded_30,1.1384667714522798,-0.241365362646934
444,"A \( 3 \) digit number belongs in this box to make the calculation true
\(
258+\square=1162
\)
What is the \( 3^{\text {rd }} \) digit of the number that belongs in the box?",D,\( 0 \),\( 2 \),\( 6 \),\( 4 \),0.5648148148148148,108,-0.2607262624632525,expanded_30,1.9297525459147602,-0.006795665621725049
1169,What number is \( 100 \) more than \( 28902 ? \),C,"\( 2,890,200 \)","\( 29,902 \)","\( 28,002 \)","\( 29,002 \)",0.7237354085603113,257,-0.9630667966718855,expanded_30,1.441659475854025,-0.5396735850641043
551,"Jo and Paul are arguing about the size of the marked angle.
Jo says it is \( 120^{\circ} \)
Paul says it is \( 60^{\circ} \)
Who is correct? ![Angle with a protractor over it showing 240 degrees]()",C,"Only
Jo","Only
Paul",Both Jo and Paul,Neither is correct,0.3887096774193548,620,0.4527392715917714,expanded_30,0.6663854872701389,1.443103393625102
585,"What is a correct solution for the following pair of simultaneous equations:
\[4x+y=7\]
\[3x+2y=4\]",B,\( \begin{array}{l}x=2 \\ y=-1\end{array} \),\( \begin{array}{l}x=3 \\ y=-5\end{array} \),\( \begin{array}{l}x=0.6 \\ y=4.6\end{array} \),\( \begin{array}{l}x=10 \\ y=-33\end{array} \),0.3057324840764331,314,0.820146871321253,expanded_30,1.1355517585043053,1.7802173602516291
526,"How many months have an average temperature below 25⁰C ? ![A line graph with title ""Monthly Average temperatures for Zakynthos, Greece. (⁰C)"". 
The x-axis is labelled with the first letter of every month of the year and is titled ""months"". 
The y-axis is titled ""Average temperature (⁰C)"" and the scale is labelled from 18 to 34 in steps of 2. The following points are plotted and joined together: (J, 18), (F, 20), (M, 21), (A, 22), (M, 23), (J, 25), (J, 29), (A, 32), (S, 27), (O, 22), (N, 20), (D, 18).]()",D,\( 3 \),\( 4 \),\( 8 \),\( 9 \),0.3983516483516483,364,0.4123379873959265,expanded_30,0.49740521352840317,1.5648292229720764
1125,"What is a correct way to set up this problem to solve it using long multiplication?
\[
128 \times 26
\]",B,![128 multiplied by 26 set out to perform long multiplication. 26 is written under 128. The 2 of 26 is under the 1 of 128 and the 6 of 26 is under the 2 of 128.](),"![128 multiplied by 26 set out to perform long multiplication. 128 is written in 3 columns with 100 in the first column, 20 in the second column and 8 in the third column. 26 is written underneath this, with 20 under 100 and 6 under 20.]()","![128 multiplied by 26 set out to perform long multiplication. 128 is written in 3 columns with 100 in the first column, 20 in the second column and 8 in the third column. 26 is written underneath this, with 20 under 20 and 6 under 8.]()",![128 multiplied by 26 set out to perform long multiplication. 26 is written under 128. The 2 of 26 is under the 2 of 128 and the 6 of 26 is under the 8 of 128.](),0.425287356321839,609,0.3011050927839219,expanded_30,1.3841136702293388,0.09187135562161035
105,"What is the size of angle \( p \) ? ![3 intersecting lines. Towards the top of the image two of the lines intersect and at this point there are two marked angles, 138 degrees and 42 degrees. The angle opposite the 42 degree angle is marked p]()",B,\( 53^{\circ} \),\( 42^{\circ} \),\( 138^{\circ} \),Not enough information,0.3502824858757062,177,0.6177977433181585,expanded_30,0.41071908055515327,1.8849901916869813
176,"This is part of a table of values for
\(y=x^{2}-2 x+1\)

What should replace the star? \begin{tabular}{|c|c|}
\hline\( x \) & \( -3 \) \\
\hline\( y \) & \(\bigstar\) \\
\hline
\end{tabular}",A,\( 14 \),\( 16 \),\( -2 \),\( 4 \),0.3565158676569885,1481,0.5905186199479407,expanded_30,0.47110544411060895,1.7900261669508664
1005,What is \( \frac{3}{5} \) as a decimal?,D,\( 0.5 \),\( 0.3 \),\( 0.35 \),None of these.,0.4205128205128205,195,0.3206685714480873,expanded_30,1.230976582364758,0.6696508086145216
1572,"The triangle is reflected in the dashed line
What are the new coordinates of point \( \mathrm{P} \) ? ![A coordinate grid with the reflection line y=-x drawn and a triangle with the coordinates (-2,3) (-1,4) and (0,3). P is the point (0,3)]()",A,"\( (-6,3) \)","\( (-3,6) \)","\( (-3,3) \)","\( (-3,0) \)",0.4226305609284332,1034,0.3119839182970119,expanded_30,0.9489608224298943,0.5181966355714596
59,\( 130 \% \) of \( 40= \),B,\( 12 \),\( 52 \),\( 170 \),Impossible as you cannot have a percentage greater than \( 100 \),0.3186968838526912,706,0.759766867901341,expanded_30,0.7011848589830875,1.2209710704727361
988,Share \( £360 \) in the ratio \( 2: 7 \),D,\( £ 60: £ 300 \),\( £ 180: £ 51 \),\( £ 100: £ 160 \),\( £ 80: £ 280 \),0.4006410256410257,2808,0.4027948795522851,expanded_30,0.9792346294162678,0.891149815289633
