concept_complexity,procedural_steps,abstraction_level,prerequisite_knowledge,rubric_specificity,common_error_likelihood,question_clarity,cognitive_load,age_appropriateness,transfer_distance,language_demand,response_precision,classical_difficulty,mean_score_proportion,item_total_correlation,_ok,item_key,rep
2.0,2.0,2.0,1.0,10.0,8.0,8.0,2.0,7.0,1.0,2.0,9.0,0.78,0.22,0.4,15,Grade 8 — English_q7,0
2.0,3.0,2.0,2.0,9.0,5.0,9.0,3.0,7.0,2.0,3.0,8.0,0.7,0.3,0.45,15,Grade 8 — English_q7,1
2.0,2.0,2.0,2.0,9.0,7.0,8.0,2.0,10.0,2.0,2.0,8.0,0.72,0.28,0.48,15,Grade 8 — English_q7,2
6.0,7.0,3.0,6.0,9.0,7.0,9.0,6.0,8.0,3.0,2.0,9.0,0.6,0.4,0.62,15,Grade 7 — Maths_q7,0
5.0,5.0,3.0,6.0,9.0,7.0,9.0,6.0,9.0,2.0,2.0,9.0,0.58,0.42,0.55,15,Grade 7 — Maths_q7,1
6.0,7.0,3.0,6.0,9.0,8.0,9.0,7.0,9.0,2.0,2.0,9.0,0.72,0.28,0.61,15,Grade 7 — Maths_q7,2
6.0,7.0,5.0,7.0,9.0,8.0,9.0,7.0,9.0,3.0,2.0,9.0,0.62,0.38,0.6,15,Grade 8 — Maths_q2,0
6.0,6.0,5.0,7.0,9.0,8.0,9.0,7.0,9.0,2.0,2.0,9.0,0.62,0.38,0.55,15,Grade 8 — Maths_q2,1
6.0,7.0,5.0,7.0,8.0,8.0,9.0,7.0,9.0,3.0,2.0,9.0,0.62,0.38,0.6,15,Grade 8 — Maths_q2,2
2.0,3.0,2.0,3.0,9.0,6.0,9.0,4.0,9.0,3.0,2.0,8.0,0.68,0.32,0.55,15,Grade 6 — Maths_q7,0
2.0,3.0,2.0,3.0,9.0,7.0,9.0,4.0,9.0,4.0,3.0,9.0,0.7,0.3,0.6,15,Grade 6 — Maths_q7,1
3.0,2.0,2.0,4.0,9.0,6.0,9.0,4.0,9.0,3.0,3.0,9.0,0.58,0.42,0.6,15,Grade 6 — Maths_q7,2
3.0,2.0,4.0,5.0,6.0,6.0,9.0,4.0,9.0,2.0,5.0,5.0,0.72,0.28,0.55,15,Grade 6 — Social Science_q8,0
6.0,4.0,4.0,7.0,6.0,7.0,9.0,6.0,9.0,3.0,6.0,6.0,0.79,0.21,0.58,15,Grade 6 — Social Science_q8,1
5.0,4.0,4.0,6.0,6.0,7.0,9.0,5.0,9.0,3.0,5.0,5.0,0.7,0.3,0.55,15,Grade 6 — Social Science_q8,2
4.0,5.0,6.0,5.0,9.0,8.0,10.0,6.0,9.0,2.0,2.0,9.0,0.58,0.42,0.6,15,Grade 7 — Maths_q2,0
4.0,4.0,5.0,5.0,9.0,7.0,10.0,5.0,10.0,2.0,2.0,10.0,0.58,0.42,0.59,15,Grade 7 — Maths_q2,1
6.0,2.0,4.0,5.0,9.0,7.0,10.0,5.0,9.0,2.0,2.0,9.0,0.55,0.45,0.55,15,Grade 7 — Maths_q2,2
1.0,1.0,1.0,1.0,10.0,2.0,8.0,1.0,8.0,1.0,1.0,9.0,0.2,0.8,0.3,15,Grade 6 — English_q16,0
1.0,1.0,1.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,1.0,9.0,0.05,0.95,0.15,15,Grade 6 — English_q16,1
2.0,1.0,1.0,2.0,9.0,2.0,8.0,2.0,3.0,1.0,2.0,8.0,0.18,0.82,0.28,15,Grade 6 — English_q16,2
4.0,3.0,4.0,4.0,9.0,7.0,6.0,5.0,9.0,3.0,3.0,8.0,0.58,0.42,0.59,15,Grade 8 — Maths_q8,0
5.0,3.0,4.0,5.0,8.0,7.0,6.0,5.0,9.0,3.0,4.0,8.0,0.68,0.32,0.58,15,Grade 8 — Maths_q8,1
4.0,3.0,5.0,6.0,9.0,7.0,8.0,4.0,9.0,3.0,5.0,8.0,0.62,0.38,0.59,15,Grade 8 — Maths_q8,2
3.0,2.0,2.0,7.0,7.0,5.0,9.0,3.0,9.0,2.0,5.0,6.0,0.59,0.41,0.61,15,Grade 8 — Social Science_q2,0
3.0,1.0,2.0,7.0,8.0,7.0,9.0,2.0,9.0,2.0,5.0,7.0,0.78,0.22,0.55,15,Grade 8 — Social Science_q2,1
3.0,2.0,2.0,7.0,7.0,6.0,9.0,3.0,9.0,2.0,6.0,6.0,0.72,0.28,0.55,15,Grade 8 — Social Science_q2,2
7.0,5.0,8.0,7.0,7.0,7.0,9.0,7.0,8.0,5.0,7.0,6.0,0.7,0.3,0.58,15,Grade 8 — Social Science_q5,0
7.0,5.0,8.0,7.0,7.0,7.0,9.0,6.0,8.0,6.0,7.0,7.0,0.73,0.27,0.55,15,Grade 8 — Social Science_q5,1
8.0,5.0,8.0,7.0,7.0,7.0,9.0,7.0,9.0,6.0,7.0,7.0,0.82,0.18,0.52,15,Grade 8 — Social Science_q5,2
3.0,2.0,2.0,7.0,8.0,7.0,8.0,4.0,9.0,3.0,3.0,7.0,0.71,0.29,0.45,15,Grade 6 — Social Science_q10,0
2.0,2.0,1.0,5.0,8.0,5.0,9.0,2.0,9.0,2.0,3.0,6.0,0.75,0.25,0.45,15,Grade 6 — Social Science_q10,1
2.0,2.0,1.0,5.0,9.0,6.0,8.0,3.0,9.0,2.0,3.0,8.0,0.62,0.38,0.42,15,Grade 6 — Social Science_q10,2
5.0,3.0,2.0,5.0,8.0,7.0,7.0,6.0,9.0,2.0,5.0,7.0,0.78,0.22,0.48,15,Grade 6 — Social Science_q6,0
5.0,2.0,3.0,6.0,8.0,7.0,8.0,5.0,9.0,3.0,6.0,7.0,0.82,0.18,0.48,15,Grade 6 — Social Science_q6,1
,,,,,,,,,,,,,,,0,Grade 6 — Social Science_q6,2
2.0,2.0,2.0,2.0,4.0,3.0,7.0,2.0,9.0,2.0,3.0,4.0,0.35,0.65,0.45,15,Grade 6 — Science_q3,0
4.0,2.0,2.0,3.0,4.0,3.0,8.0,3.0,9.0,2.0,4.0,5.0,0.3,0.7,0.45,15,Grade 6 — Science_q3,1
3.0,2.0,2.0,3.0,8.0,3.0,8.0,2.0,9.0,2.0,3.0,4.0,0.38,0.62,0.55,15,Grade 6 — Science_q3,2
2.0,2.0,2.0,3.0,8.0,6.0,7.0,3.0,9.0,1.0,2.0,8.0,0.58,0.42,0.55,15,Grade 8 — English_q9,0
3.0,2.0,2.0,4.0,8.0,7.0,9.0,3.0,9.0,2.0,3.0,8.0,0.72,0.28,0.55,15,Grade 8 — English_q9,1
2.0,1.0,2.0,4.0,7.0,5.0,9.0,3.0,9.0,2.0,3.0,6.0,0.59,0.41,0.55,15,Grade 8 — English_q9,2
2.0,1.0,2.0,3.0,2.0,3.0,8.0,2.0,9.0,2.0,3.0,2.0,0.25,0.75,0.3,15,Grade 8 — Science_q7,0
3.0,2.0,2.0,3.0,9.0,3.0,8.0,3.0,6.0,3.0,4.0,3.0,0.35,0.65,0.35,15,Grade 8 — Science_q7,1
2.0,1.0,2.0,2.0,8.0,2.0,8.0,2.0,4.0,2.0,3.0,4.0,0.25,0.75,0.35,15,Grade 8 — Science_q7,2
